Technology,Zip_Code,Count,Income,Pop
PHEV,77801,1,31665,15068
BEV,77802,11,57114,25621
PHEV,77802,6,57114,25621
BEV,77803,6,40903,32946
PHEV,77803,2,40903,32946
BEV,77807,9,66959,11564
PHEV,77807,2,66959,11564
BEV,77808,6,69147,12013
PHEV,77808,1,69147,12013
BEV,77830,2,77821,3101
PHEV,77830,1,77821,3101
BEV,77831,1,50090,3179
PHEV,77831,1,50090,3179
BEV,77833,11,54748,29345
PHEV,77833,8,54748,29345
BEV,77835,1,50781,2330
BEV,77836,3,59847,12077
PHEV,77836,2,59847,12077
BEV,77837,1,37348,1922
BEV,77840,6,26075,59371
PHEV,77840,11,26075,59371
BEV,77845,72,82929,66649
PHEV,77845,29,82929,66649
PHEV,77856,1,50450,5246
BEV,77861,2,62941,2203
PHEV,77861,1,62941,2203
BEV,77864,2,52240,7562
PHEV,77864,1,52240,7562
BEV,77868,6,54352,17142
BEV,77871,2,46250,2738
PHEV,77871,2,46250,2738
BEV,77872,1,58529,1879
BEV,77879,1,55891,5621
PHEV,77879,1,55891,5621
BEV,77880,1,68365,1438
PHEV,77880,1,68365,1438
BEV,77901,10,43957,43052
PHEV,77901,2,43957,43052
BEV,77904,14,76537,28202
PHEV,77904,6,76537,28202
BEV,77905,1,72896,14834
BEV,77954,2,59056,11478
PHEV,77954,1,59056,11478
BEV,77957,1,54721,8735
PHEV,77964,2,53835,8395
BEV,77975,1,62569,1609
BEV,77979,3,58877,17916
PHEV,77979,1,58877,17916
BEV,77984,3,67250,3972
PHEV,77984,2,67250,3972
BEV,77995,1,51264,10724
PHEV,77995,1,51264,10724
BEV,78002,2,52598,6833
PHEV,78002,2,52598,6833
BEV,78003,1,60116,9743
PHEV,78003,2,60116,9743
BEV,78005,1,83849,870
BEV,78006,90,85813,36056
PHEV,78006,25,85813,36056
BEV,78009,8,58726,8466
PHEV,78009,6,58726,8466
BEV,78010,1,60755,3493
PHEV,78010,1,60755,3493
PHEV,78011,1,39375,1688
PHEV,78012,1,64118,267
BEV,78013,4,65757,7312
PHEV,78013,1,65757,7312
BEV,78015,66,123182,15811
PHEV,78015,12,123182,15811
BEV,78016,3,51991,11632
PHEV,78016,1,51991,11632
PHEV,78017,1,48038,6074
BEV,78019,1,53636,1253
BEV,78023,54,122967,31357
PHEV,78023,27,122967,31357
BEV,78024,2,54125,1370
PHEV,78024,1,54125,1370
BEV,78025,2,52692,4918
PHEV,78025,1,52692,4918
BEV,78026,1,48858,6452
PHEV,78026,1,48858,6452
BEV,78027,1,228030,381
BEV,78028,20,54785,39944
PHEV,78028,16,54785,39944
BEV,78039,2,66944,1924
BEV,78040,1,25108,40939
PHEV,78040,1,25108,40939
BEV,78041,16,50603,47753
PHEV,78041,3,50603,47753
BEV,78043,3,39716,45532
PHEV,78043,5,39716,45532
PHEV,78044,1,44489,519
BEV,78045,33,75073,66685
PHEV,78045,11,75073,66685
BEV,78046,1,37952,70989
PHEV,78046,2,37952,70989
BEV,78052,5,60880,6769
PHEV,78052,4,60880,6769
BEV,78055,2,44622,1867
PHEV,78055,1,44622,1867
BEV,78056,9,113962,2138
PHEV,78056,1,113962,2138
BEV,78058,1,95761,976
BEV,78061,2,46184,12858
PHEV,78061,2,46184,12858
BEV,78063,8,59758,9484
PHEV,78063,1,59758,9484
BEV,78064,2,66067,16186
BEV,78065,2,50533,11130
PHEV,78065,4,50533,11130
BEV,78070,34,89083,15457
PHEV,78070,25,89083,15457
BEV,78071,2,42549,4372
PHEV,78071,1,42549,4372
BEV,78073,2,50929,8580
PHEV,78073,1,50929,8580
BEV,78076,1,33015,13029
BEV,78101,8,73030,6465
PHEV,78101,4,73030,6465
BEV,78102,7,43078,28323
PHEV,78102,3,43078,28323
BEV,78108,53,100271,39999
PHEV,78108,18,100271,39999
BEV,78109,28,70242,39769
PHEV,78109,25,70242,39769
BEV,78112,4,52761,8617
PHEV,78112,2,52761,8617
BEV,78114,4,70840,24009
PHEV,78114,1,70840,24009
BEV,78117,1,42390,401
BEV,78119,1,52413,7160
BEV,78121,7,95843,13276
PHEV,78121,2,95843,13276
BEV,78123,7,47917,2177
BEV,78124,3,75211,6913
PHEV,78124,2,75211,6913
BEV,78130,99,65627,77400
PHEV,78130,52,65627,77400
BEV,78132,85,106523,30987
PHEV,78132,22,106523,30987
BEV,78133,20,67366,18483
PHEV,78133,9,67366,18483
BEV,78145,3,40536,116
BEV,78148,23,62759,22364
PHEV,78148,5,62759,22364
PHEV,78151,1,46310,1662
BEV,78152,4,79333,2171
PHEV,78152,2,79333,2171
BEV,78154,42,80707,41272
PHEV,78154,13,80707,41272
BEV,78155,22,58004,48909
PHEV,78155,10,58004,48909
BEV,78160,1,63719,4918
PHEV,78160,1,63719,4918
BEV,78163,19,122868,12874
PHEV,78163,8,122868,12874
BEV,78201,18,37183,48334
PHEV,78201,9,37183,48334
BEV,78202,4,28130,11453
PHEV,78202,7,28130,11453
BEV,78203,2,32216,6180
BEV,78204,17,40031,12231
PHEV,78204,5,40031,12231
BEV,78205,5,36094,1441
PHEV,78205,3,36094,1441
BEV,78207,4,27205,55484
PHEV,78207,6,27205,55484
BEV,78208,3,24455,4913
PHEV,78208,1,24455,4913
BEV,78209,119,73448,42653
PHEV,78209,44,73448,42653
BEV,78210,20,38248,37683
PHEV,78210,8,38248,37683
BEV,78211,2,39348,32769
PHEV,78211,1,39348,32769
BEV,78212,42,47623,28865
PHEV,78212,15,47623,28865
BEV,78213,25,45682,44813
PHEV,78213,8,45682,44813
BEV,78214,2,35978,27558
PHEV,78214,2,35978,27558
BEV,78215,25,74408,2915
PHEV,78215,8,74408,2915
BEV,78216,42,50358,43554
PHEV,78216,17,50358,43554
BEV,78217,13,46152,34159
PHEV,78217,9,46152,34159
BEV,78218,17,42343,37281
PHEV,78218,10,42343,37281
BEV,78219,1,37374,17239
PHEV,78219,4,37374,17239
BEV,78220,4,30772,16700
